Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao,Numero_Linhas
App.js,100,1,2,13,5.056,546,30.333,27
history.js,100,1,0,3,6,180,10,10
routes.js,63.065,13,27,45,27.045,38128.41,2118.245,223
contexts/AuthContext.js,66.724,16,128,122,50.625,203457.483,11303.193,576
services/api.js,81.725,1,2,6,5.25,348.69,19.372,17
components/Button/Button.js,61.82,16,29,68,34.857,50023.281,2779.071,229
components/Button/Buttons.js,92.864,1,6,39,8.479,3087.935,171.552,71
components/Forms/DepartamentoForm.js,74.993,19,47,73,34.482,95872.086,5326.227,410
components/Forms/DesegForm.js,72.944,11,51,88,38.25,108516.65,6028.703,404
components/Forms/ProfessorForm.js,75.961,11,44,73,35.649,81952.162,4552.898,341
components/Forms/RelatorioForm.js,79.993,1,6,37,8.69,3631.312,201.74,78
components/Forms/SolicitacaoForm.js,70.611,52,121,217,58.12,455336.218,25296.457,1023
components/Forms/VigilanteForm.js,71.557,15,78,135,46.65,197800.856,10988.936,582
components/Forms/VisitaForm.js,70.336,18,84,133,40.262,168817.22,9378.734,577
components/SolicitaçãoRadioGroup/index.js,74.74,23,83,145,55.59,202435.064,11246.392,537
components/Spinner/Spinner.js,93.911,1,3,98,8.357,735.429,40.857,22
pages/CadastroUsuario/index.js,71.988,21,35,74,33.833,85931.176,4773.954,376
pages/Home/index.js,70.524,42,20,86,35.369,93431.602,5190.645,410
pages/Liberacao/index.js,76.204,13,15,67,26,43045.866,2391.437,259
pages/Liberacoes/index.js,82.266,3,10,32,16.979,15813.674,878.537,153
pages/Login/index.js,74.45,17,44,77,34.066,90899.286,5049.96,385
pages/Solicitacoes/index.js,76.949,4,20,58,19.828,26544.987,1474.722,213
pages/Visitas/index.js,79.994,3,16,42,18.421,22346.259,1241.459,193
components/Form/FormSection/FormBody.js,87.096,1,4,8,6.429,565.714,31.429,22
components/Form/FormSection/FormFooter.js,85.927,2,6,13,9.5,1395.983,77.555,34
components/Form/FormSection/FormLine.js,85.281,5,12,16,14.375,4729.817,262.768,70
components/Form/InputField/index.js,55.496,14,33,52,37.625,57124.02,3173.557,243
components/Form/PasswordField/index.js,61.844,21,37,78,38.246,85004.198,4722.455,336
components/Icons/ApproveIcon/ApproveIcon.js,83.654,1,3,17,3.6,524.569,29.143,31
components/Icons/DeleteIcon/DeleteIcon.js,80.56,1,3,11,8.333,2177.857,120.992,57
components/Icons/DisapproveIcon/DisapproveIcon.js,85.443,1,3,10,4.125,282.696,15.705,18
components/Icons/EditIcon/EditIcon.js,85.098,1,3,6,3.9,312,17.333,20
components/Icons/PlusIcon/PlusIcon.js,81.39,3,3,6,7.5,875.19,48.622,27
components/Icons/ReportIcon/ReportIcon.js,83.129,1,3,13,5.143,689.039,38.28,31
