Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao,Numero_Linhas
index.js,100,1,0,13,1,137.065,7.615,36
Button/Button.js,61.806,17,29,69,34.314,50831.958,2823.998,235
Button/Buttons.js,92.476,1,6,40,7.984,3487.177,193.732,81
Button/index.js,100,1,0,3,1,12,0.667,6
Card/Card.js,81.699,5,10,73,14.786,15240.66,846.703,166
Card/index.js,100,1,0,2,1,4.755,0.264,3
Header/Header.js,78.712,2,12,38,13.793,7196.221,399.79,95
Header/index.js,100,1,0,2,1,4.755,0.264,3
Icons/index.js,100,1,0,8,1,66.568,3.698,21
Modal/Modal.js,69.83,2,8,21,11,2118.253,117.681,42
Modal/index.js,100,1,0,2,1,4.755,0.264,3
Spinner/Spinner.js,93.911,1,3,99,7.5,813.135,45.174,26
Spinner/index.js,100,1,0,2,1,4.755,0.264,3
Form/FormSection/FormBody.js,87.096,1,4,9,6,650.508,36.139,26
Form/FormSection/FormFooter.js,85.927,2,6,14,8.75,1482.761,82.376,38
Form/FormSection/FormLine.js,85.281,5,12,17,13.333,4743.257,263.514,74
Form/InputField/InputField.js,55.496,14,33,52,34.83,53258.411,2958.801,244
Form/InputField/index.js,100,1,0,2,1,4.755,0.264,3
Form/PasswordField/PasswordField.js,61.844,21,37,77,36.725,81197.102,4510.95,335
Form/PasswordField/index.js,100,1,0,2,1,4.755,0.264,3
Icons/ApproveIcon/ApproveIcon.js,76.335,1,5,18,5.333,1093.333,60.741,41
Icons/ApproveIcon/index.js,100,1,0,2,1,4.755,0.264,3
Icons/ArrowLeftIcon/ArrowLeftIcon.js,80.445,1,4,7,5.429,677.834,37.657,28
Icons/ArrowLeftIcon/index.js,100,1,0,2,1,4.755,0.264,3
Icons/DeleteIcon/DeleteIcon.js,73.548,1,5,12,11.238,3712.423,206.246,68
Icons/DeleteIcon/index.js,100,1,0,2,1,4.755,0.264,3
Icons/DisapproveIcon/DisapproveIcon.js,77.453,1,5,11,6.333,766.422,42.579,28
Icons/DisapproveIcon/index.js,100,1,0,2,1,4.755,0.264,3
Icons/EditIcon/EditIcon.js,76.989,1,5,7,6.133,887.824,49.324,32
Icons/EditIcon/index.js,100,1,0,2,1,4.755,0.264,3
Icons/PlusIcon/PlusIcon.js,77.453,1,5,7,6.333,766.422,42.579,28
Icons/PlusIcon/index.js,100,1,0,2,1,4.755,0.264,3
Icons/ReportIcon/ReportIcon.js,75.864,1,5,14,7.111,1370.439,76.136,41
Icons/ReportIcon/index.js,100,1,0,2,1,4.755,0.264,3
