Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao
app/MainApp.js,100,1,2,17,6.3,829.62,46.09
app/RoutesApp.js,79.875,7,7,17,18.159,9981.722,554.54
components/FormSignIn/FormSignIn.js,77.465,7,36,40,27.232,40399.562,2244.42
components/FormSignIn/FormSignIn.schema.js,75.584,1,3,6,7.2,1101.063,61.17
components/FormSignIn/index.js,100,1,0,2,1,4.755,0.264
components/FormSignInFields/FormSignInFields.js,92.418,1,2,23,5.667,1443.809,80.212
components/FormSignInFields/index.js,100,1,0,2,1,4.755,0.264
components/Logo/Logo.js,84.755,1,3,6,6.525,1236.235,68.68
components/Logo/index.js,100,1,0,2,1,4.755,0.264
pages/Login/LoginPage.js,98.268,1,2,17,7.143,1342.739,74.597
pages/Login/index.js,100,1,0,2,1.5,23.265,1.292
pages/NotFound/NotFoundPage.js,83.114,1,6,15,5.769,809.022,44.946
pages/NotFound/index.js,100,1,0,2,1.5,23.265,1.292
services/httpClient.js,70.919,2,5,10,6.286,963.268,53.515
services/signIn/index.js,100,1,0,2,1.5,15,0.833
services/signIn/signInService.js,70.519,1,8,10,9.9,1434.97,79.721
