Arquivo,Manutenibilidade,Ciclomatico,Sloc_logico,Sloc_fisico,Dificuldade,Esforco,Duracao
app/MainApp.js,90.315,1,3,16,7.273,1149.989,63.888
app/RoutesApp.js,74.559,9,10,21,20.018,13787.68,765.982
app/useMockApp.js,67.554,2,18,27,7.682,3309.618,183.868
bootstrap.js,89.003,1,1,4,3.056,244.305,13.573
components/CardUser/CardUser.js,81.556,1,5,15,6.75,978.389,54.355
components/CardUser/index.js,100,1,0,1,1,4.755,0.264
components/Example/Example.js,87.096,1,3,7,6,322.647,17.925
components/Example/index.js,100,1,0,2,1,12,0.667
components/FormDepartment/FormDepartment.js,80.178,9,44,57,28.381,52845.636,2935.869
components/FormDepartment/index.js,100,1,0,1,1,4.755,0.264
components/FormDepartmentFields/FormDepartmentFields.js,90.083,2,3,22,8.609,2802.971,155.721
components/FormDepartmentFields/index.js,100,1,0,1,1,4.755,0.264
components/FormDeseg/FormDeseg.js,76.863,11,51,63,36.319,78861.689,4381.205
components/FormDeseg/FormDeseg.schema.js,74.905,1,3,5,8.8,1546.096,85.894
components/FormDeseg/index.js,100,1,0,1,1,4.755,0.264
components/FormDesegFields/FormDesegFields.js,80.903,3,3,28,8.885,3008.459,167.137
components/FormDesegFields/index.js,100,1,0,1,1,4.755,0.264
components/FormReport/FormReport.js,79.673,1,7,17,8.471,1892.898,105.161
components/FormReport/index.js,100,1,0,1,1,4.755,0.264
components/FormReportFields/FormReportFields.js,94.855,1,2,22,5.474,1197.231,66.513
components/FormReportFields/index.js,100,1,0,1,1,4.755,0.264
components/FormTeacher/FormTeacher.js,78.464,11,46,58,34.858,74256.399,4125.356
components/FormTeacher/index.js,100,1,0,1,1,4.755,0.264
components/FormTeacherFields/FormTeacherFields.js,84.522,1,3,21,6,1240.916,68.94
components/FormTeacherFields/index.js,100,1,0,1,1,4.755,0.264
components/FormVigilant/FormVigilant.js,76.638,11,76,104,42.843,137979.36,7665.52
components/FormVigilant/FormVigilant.schema.js,70.08,1,5,8,7.071,1535.426,85.301
components/FormVigilant/index.js,100,1,0,1,1,4.755,0.264
components/FormVigilantFields/FormVigilantFields.js,82.382,5,4,34,12.541,6823.966,379.109
components/FormVigilantFields/index.js,100,1,0,1,1,4.755,0.264
components/PageLayout/index.js,100,1,0,1,1,4.755,0.264
components/PageLayout/PageLayout.js,71.4,8,10,17,16.5,9571.488,531.749
domains/Department.js,100,1,0,1,1,2,0.111
pages/Home/HomePage.js,76.76,14,15,65,20.526,27913.587,1550.755
pages/Home/index.js,100,1,0,1,1.5,23.265,1.292
pages/Register/index.js,100,1,0,1,1.5,23.265,1.292
pages/Register/RegisterPage.js,75.984,28,57,81,37.956,131077.25,7282.069
services/httpClient.js,73.235,2,4,8,6.417,870.786,48.377
shared/utfpr-core-shared-mfe/UserStore.js,100,1,0,2,3,54.284,3.016
types/User.js,100,1,0,1,1,2,0.111
